frame,timestamp_ms,scenario_ground_truth,ear,mar,pose_horiz_ratio,pose_vert_ratio,gaze_avg_ratio,hand_raise_metric,pose_forward_metric,mouth_curl_metric,emotion_surprise_metric,pose_horiz_centered
0,0.000000,Looking Left,0.000000,0.000000,0.500000,0.500000,0.500000,-0.7698607617928714,,,,-0.29427215874002877
1,66.666667,Looking Left,0.509022,0.000000,-0.213869,0.527410,0.353601,-1.1052722283085412,0.39635833645488927,-0.004323035850963923,0.2545112164239096,-1.4158104010744594
2,133.333333,Looking Left,0.343081,0.014371,-0.158015,0.556060,0.286199,-1.2502545975621033,0.3683501142054491,-0.008137465450175114,0.18591147137374772,-1.3127418212919733
3,200.000000,Looking Left,0.329147,0.014419,-0.164670,0.542202,0.330995,-1.4134503245924084,0.3638977369771878,-0.005368339286457693,0.17899231954059078,-1.325596852875921
4,266.666667,Looking Left,0.354967,0.000000,-0.155558,0.543161,0.293087,-1.4935693538053618,0.3592535648955557,-0.006689180198624329,0.17748373901229642,-1.3058644770327086
5,333.333333,Looking Left,0.351044,0.000000,-0.155558,0.539384,0.290443,-1.36724195996914,0.35964806566600954,-0.005367005405466746,0.17552222320699878,-1.3058644770327086
6,400.000000,Looking Left,0.342314,0.000000,-0.159068,0.537810,0.338688,-1.468892790840417,0.36175419934642716,-0.005351344158899463,0.17115690881735415,-1.3133342881214982
7,466.666667,Looking Left,0.352022,0.000000,-0.147370,0.540690,0.313287,-1.4890792549983856,0.35589349660659886,-0.006724999745795014,0.17601081088441028,-1.2894900008316714
8,533.333333,Looking Left,0.348170,0.000000,-0.142696,0.535310,0.265625,-1.5070673075402536,0.35391236385864494,-0.008069999694954018,0.17408512346722627,-1.280183203591086
9,600.000000,Looking Left,0.325084,0.014142,-0.143446,0.537021,0.274816,-1.5373892307970416,0.3542441968161257,-0.008095787521886007,0.17668395197635678,-1.282819206077836
10,666.666667,Looking Left,0.343449,0.000000,-0.134247,0.535960,0.254972,-1.5786413998074595,0.3506205944417471,-0.00807979873005215,0.17172433220188132,-1.2651792470238004
